"","Family","Genus","Species","FemaleMass","PopDensity","MaxLifeSpan","LogFemaleMass","LogMaxLifeSpan"
"1","Dasyuridae","Planigale","gilesi",7,7.4,5,1.94591014905531,1.6094379124341
"2","Acrobatidae","Acrobates","pygmaeus",12,9,3,2.484906649788,1.09861228866811
"3","Dasyuridae","Sminthopsis","murina",14,6,2,2.63905732961526,0.693147180559945
"4","Dasyuridae","Sminthopsis","crassicaudata",15,0.5,3,2.70805020110221,1.09861228866811
"5","Dasyuridae","Sminthopsis","hirtipes",18,0.2,NA,2.89037175789616,NA
"6","Dasyuridae","Antechinus","agilis",18,8.13,NA,2.89037175789616,NA
"7","Dasyuridae","Sminthopsis","griseoventer",19,2.5,NA,2.94443897916644,NA
"8","Dasyuridae","Sminthopsis","leucopus",19,6.18,2.5,2.94443897916644,0.916290731874155
"9","Dasyuridae","Antechinus","stuartii",20,2.87,2,2.99573227355399,0.693147180559945
"10","Microbiotheriidae","Dromiciops","gliroides",24,0.5,3,3.17805383034795,1.09861228866811
"11","Burramyidae","Cercartetus","nanus",24,11.56,8,3.17805383034795,2.07944154167984
"12","Dasyuridae","Murexia","melanurus",27,1.5,NA,3.29583686600433,NA
"13","Burramyidae","Cercartetus","caudatus",30,0.5,3.2,3.40119738166216,1.16315080980568
"14","Dasyuridae","Antechinus","bellus",34,1.6,2,3.52636052461616,0.693147180559945
"15","Dasyuridae","Antechinus","flavipes",34,6.9,3.5,3.52636052461616,1.25276296849537
"16","Didelphidae","Marmosa","canescens",40,4.5,NA,3.68887945411394,NA
"17","Dasyuridae","Antechinus","swainsonii",41,7.09,2,3.71357206670431,0.693147180559945
"18","Dasyuridae","Antechinus","minimus",42,14,2,3.73766961828337,0.693147180559945
"19","Burramyidae","Burramys","parvus",42,61.25,12,3.73766961828337,2.484906649788
"20","Dasyuridae","Murexia","naso",43,1.5,NA,3.76120011569356,NA
"21","Dasyuridae","Antechinus","leo",54,1.62,2,3.98898404656427,0.693147180559945
"22","Dasyuridae","Parantechinus","apicalis",58,6,2,4.06044301054642,0.693147180559945
"23","Didelphidae","Marmosa","robinsoni",60,3.25,2,4.0943445622221,0.693147180559945
"24","Dasyuridae","Antechinus","godmani",61,0.05,NA,4.11087386417331,NA
"25","Didelphidae","Monodelphis","brevicaudata",70,1,1,4.24849524204936,0
"26","Didelphidae","Monodelphis","domestica",80,4,4.5,4.38202663467388,1.50407739677627
"27","Petauridae","Petaurus","breviceps",115,5.01,9,4.74493212836325,2.19722457733622
"28","Didelphidae","Micoureus","demerarae",130,1.45,NA,4.86753445045558,NA
"29","Petauridae","Gymnobelideus","leadbeateri",133,2.6,8,4.89034912822175,2.07944154167984
"30","Dasyuridae","Phascogale","tapoatafa",156,1.11,3.5,5.04985600724954,1.25276296849537
"31","Didelphidae","Caluromys","philander",187,0.97,NA,5.23110861685459,NA
"32","Peramelidae","Perameles","bougainville",226,0.34,NA,5.42053499927229,NA
"33","Petauridae","Petaurus","norfolcensis",230,1.54,6,5.4380793089232,1.79175946922805
"34","Petauridae","Petaurus","gracilis",343,0.12,NA,5.83773044716594,NA
"35","Dasyuridae","Dasyurus","hallacatus",400,0.21,2.9,5.99146454710798,1.06471073699243
"36","Petauridae","Dactylopsila","trivirgata",423,0.04,NA,6.04737217904628,NA
"37","Didelphidae","Philander","opossum",450,1.255,3.5,6.10924758276437,1.25276296849537
"38","Myrmecobiidae","Myrmecobius","fasciatus",459,0.05,NA,6.12905021006055,NA
"39","Peramelidae","Isoodon","auratus",485,10,NA,6.18414889093748,NA
"40","Potoroidae","Hypsiprymnodon","moschatus",511,2.4,6,6.2363695902037,1.79175946922805
"41","Burramyidae","Petaurus","australis",528,0.12,6,6.26909628370626,1.79175946922805
"42","Peramelidae","Isoodon","obesulus",700,1.82,3.5,6.5510803350434,1.25276296849537
"43","Peramelidae","Perameles","gunnii",750,6.65,3,6.62007320653036,1.09861228866811
"44","Didelphidae","Didelphis","albiventris",825,4,1.7,6.71538338633468,0.53062825106217
"45","Didelphidae","Didelphis","aurita",850,0.4,NA,6.74523634948436,NA
"46","Peramelidae","Perameles","nasuta",859,0.9,NA,6.75576892198425,NA
"47","Dasyuridae","Dasyurus","viverrinus",880,0.19,4,6.77992190747225,1.38629436111989
"48","Dasyuridae","Dasyurus","geoffroii",890,0.02,5,6.79122146272619,1.6094379124341
"49","Pseudocheiridae","Pseudocheirus","peregrinus",900,13.74,5,6.80239476332431,1.6094379124341
"50","Pseudocheiridae","Pseudochirulus","cinereus",910,1.46,NA,6.8134445995109,NA
"51","Pseudocheiridae","Hemibelideus","lemuroides",925,7,NA,6.82979373751242,NA
"52","Pseudocheiridae","Pseudocheirus","occidentalis",1000,3.2,NA,6.90775527898214,NA
"53","Potoroidae","Potorous","tridactylus",1020,0.99,7,6.92755790627832,1.94591014905531
"54","Pseudocheiridae","Pseudochirulus","herbertensis",1050,9,NA,6.95654544315157,NA
"55","Peramelidae","Isoodon","macrourus",1100,0.7,2.1,7.00306545878646,0.741937344729377
"56","Pseudocheiridae","Pseudochirops","archeri",1120,1.5,NA,7.02108396428914,NA
"57","Potoroidae","Bettongia","tropica",1200,0.2,7,7.09007683577609,1.94591014905531
"58","Potoroidae","Bettongia","xanthopus",1300,0.17,NA,7.17011954344963,NA
"59","Potoroidae","Bettongia","penicillata",1300,0.26,6,7.17011954344963,1.79175946922805
"60","Macropodidae","Lagorchestes","hirsutus",1310,0.27,8,7.1777824161952,2.07944154167984
"61","Didelphidae","Didelphis","marsupialis",1530,1.66,2,7.33302301438648,0.693147180559945
"62","Potoroidae","Potorous","longipes",1650,0.41,10,7.40853056689463,2.30258509299405
"63","Potoroidae","Bettongia","gaimardi",1660,0.19,7,7.41457288135059,1.94591014905531
"64","Phalangeridae","Wyulda","squamicaudata",1675,3.45,NA,7.42356844425917,NA
"65","Pseudocheiridae","Petauroides","volans",1700,1.18,15,7.43838353004431,2.70805020110221
"66","Didelphidae","Didelphis","virginiana",1800,0.27,3,7.49554194388426,1.09861228866811
"67","Macropodidae","Lagostrophus","fasciatus",1800,0.88,4,7.49554194388426,1.38629436111989
"68","Pseudocheiridae","Petropseudes","dahli",2000,0.18,NA,7.60090245954208,NA
"69","Phalangeridae","Trichosurus","vulpecula",2300,2.1,13,7.74066440191724,2.56494935746154
"70","Potoroidae","Aepyprymnus","rufescens",2500,0.96,NA,7.82404601085629,NA
"71","Phalangeridae","Trichosurus","caninus",2900,0.55,17,7.97246601597457,2.83321334405622
"72","Macropodidae","Setonix","brachyurus",2900,11.4,12,7.97246601597457,2.484906649788
"73","Macropodidae","Lagorchestes","conspicillatus",3000,0.42,6,8.00636756765025,1.79175946922805
"74","Macropodidae","Onychogalea","fraenata",3400,0.2,5,8.13153071060425,1.6094379124341
"75","Macropodidae","Thylogale","thetis",3800,3.6,9,8.24275634571448,2.19722457733622
"76","Macropodidae","Thylogale","billardierii",3900,2.5,10,8.26873183211774,2.30258509299405
"77","Dasyuridae","Dasyurus","maculatus",4000,0.04,NA,8.29404964010203,NA
"78","Macropodidae","Thylogale","stigmatica",4100,3.25,NA,8.3187422526924,NA
"79","Macropodidae","Petrogale","lateralis",4200,2.75,12,8.34283980427146,2.484906649788
"80","Macropodidae","Petrogale","assimilis",4300,0.86,13,8.36637030168165,2.56494935746154
"81","Phascolarctidae","Phascolarctos","cinereus",5100,3,18,8.53699581871242,2.89037175789616
"82","Macropodidae","Petrogale","persephone",5200,0.06,NA,8.55641390456952,NA
"83","Macropodidae","Macropus","eugenii",5500,0.75,14,8.61250337122056,2.63905732961526
"84","Macropodidae","Petrogale","penicillata",6300,3,14,8.74830491237962,2.63905732961526
"85","Macropodidae","Dendrolagus","lumholtzi",6475,1.275,NA,8.77570388656774,NA
"86","Macropodidae","Macropus","dorsalis",6500,1.1,15,8.77955745588373,2.70805020110221
"87","Dasyuridae","Sarcophilus","harrisii",7000,0.06,6,8.85366542803745,1.79175946922805
"88","Macropodidae","Petrogale","xanthopus",7000,0.15,12,8.85366542803745,2.484906649788
"89","Macropodidae","Macropus","irma",8000,0.27,NA,8.98719682066197,NA
"90","Macropodidae","Dendrolagus","bennettianus",9300,0.28,20,9.13776967914135,2.99573227355399
"91","Macropodidae","Macropus","agilis",11000,0.18,12,9.30565055178051,2.484906649788
"92","Macropodidae","Macropus","parryi",11000,0.36,14,9.30565055178051,2.63905732961526
"93","Macropodidae","Wallabia","bicolor",13000,0.31,12,9.47270463644367,2.484906649788
"94","Macropodidae","Macropus","rufogriseus",13800,0.36,19,9.5324238711453,2.94443897916644
"95","Macropodidae","Macropus","robustus",15600,0.31,24,9.65502619323763,3.17805383034795
"96","Macropodidae","Macropus","fuliginosus",16000,0.41,20,9.68034400122192,2.99573227355399
"97","Macropodidae","Macropus","antilopinus",17500,0.22,NA,9.76995615991161,NA
"98","Macropodidae","Macropus","giganteus",17800,0.45,24,9.78695373628018,3.17805383034795
"99","Vombatidae","Vombatus","ursinus",26000,0.36,20,10.1658518170036,2.99573227355399
"100","Vombatidae","Lasiorhinus","latifrons",26000,2.74,20,10.1658518170036,2.99573227355399
"101","Macropodidae","Macropus","rufus",26500,0.11,25,10.1849000119743,3.2188758248682
"102","Vombatidae","Lasiorhinus","krefftii",31000,0.22,27,10.3417424834673,3.29583686600433
